,decibel
44352,31.548616749670153
44353,31.61893572304461
44354,32.069834203164774
44355,33.2898450190632
44356,35.19138128423017
44357,37.20620874575105
44358,39.74236995627572
44359,45.49787029077918
44360,68.35000217510202
44361,46.47219120197324
44362,42.14393432873079
44363,40.05567374205757
44364,39.08693824840538
44365,38.36489604679693
44366,37.89536459120523
44367,38.62190299773608
44368,41.39490656765078
44369,47.29381567584344
44370,69.08683991646609
44371,50.437477349697595
44372,44.685356204563234
44373,40.45307254963422
44374,36.66609717171772
44375,34.14440110650916
44376,32.895051814948765
44377,32.27434218692914
44378,31.730820793722945
44379,31.109101932626032
44380,30.582504657152626
44381,30.38314322393632
44382,30.431442531809125
44383,30.511107424818896
44384,30.321983954350667
44385,29.74569505210452
44386,29.136681930101172
44387,28.696361108698003
44388,28.423064421524092
44389,28.53208148275879
44390,28.860286068765344
44391,28.827301831073942
44392,28.381193635029582
44393,27.871238997120734
44394,27.290800683290147
44395,26.449290670900933
44396,25.376562306765823
44397,24.457232167689327
44398,23.98538760822465
44399,23.962353695212517
44400,24.191221457805213
44401,24.417456213702255
44402,24.642974125123366
44403,25.036276037662674
44404,25.46064612231872
44405,25.68980158734943
44406,25.90160605016647
44407,26.366144961778545
44408,27.102629420609844
44409,27.84830748801852
44410,28.301585061303008
44411,28.475659547280667
44412,28.447569742617006
44413,28.04685072385894
44414,27.33077883700723
44415,26.715090558097895
44416,26.44650494752922
44417,26.34961090457057
44418,26.360609116016228
44419,26.706479301248134
44420,27.156828496419973
44421,27.12665669518529
44422,26.603815991649178
44423,25.823462754232153
44424,24.921049611233926
44425,24.127039812595008
44426,23.49016848775147
44427,22.847078178521443
44428,22.25686937720574
44429,21.957891356121124
44430,22.001156844345928
44431,22.19180659331348
44432,22.3449800528477
44433,22.369278107910333
44434,22.251735294231636
44435,22.14072700879671
44436,22.091747809372407
44437,21.883480408451923
44438,21.50335725726389
44439,21.212101499024154
44440,21.01766113816998
44441,20.778154777231865
44442,20.511209114713175
44443,20.283686142179032
44444,20.07132490095988
44445,19.8548796768239
44446,19.61578718262547
44447,19.288517631457015
44448,18.87598639137637
44449,18.513347944866617
44450,18.288446873566755
44451,18.171700244811444
44452,18.139539812422388
44453,18.181370332639478
44454,18.228797629882603
44455,18.23096206456093
44456,18.207207052501865
44457,18.21907757667152
44458,18.338658266286988
44459,18.607683303276062
44460,19.023958370635683
44461,19.526221536992413
44462,19.97300300971452
44463,20.25499476405556
44464,20.34140891078454
44465,20.311129653487892
44466,20.33313664284558
44467,20.471960886638215
44468,20.571891132259754
44469,20.43425550161102
44470,20.10882678146298
44471,19.85880514309263
44472,19.777038369483325
44473,19.813289325321936
44474,20.035323809982096
44475,20.563401909838262
44476,21.414054114645968
44477,22.469130826525713
44478,23.496143005782265
44479,24.386668578154136
44480,25.19390162889236
44481,25.925150506676786
44482,26.606654510214437
44483,27.15376847286298
44484,27.386418043581827
44485,27.30615328701976
44486,27.027860218174023
44487,26.746726003677075
44488,26.62368565545428
44489,26.603806739650068
44490,26.61516266186565
44491,26.6180086086657
44492,26.584001823117887
44493,26.65214531802433
44494,27.018966963999013
44495,27.81887503789151
44496,29.113943990454786
44497,30.622943555423912
44498,31.990396898792667
44499,33.413242103681014
44500,35.37618918910813
44501,37.958451127318924
44502,41.060832185137144
44503,45.107046524251146
44504,50.89264228938154
44505,56.76311282042195
44506,52.63113435661197
44507,44.61894857531717
44508,39.20707603043467
44509,36.25173689557385
