,decibel
167,-80.33449770951832
168,-81.83233139768491
169,-86.33066137711549
170,-77.87163453143178
171,-77.28277056973467
172,-86.88523333120658
173,-81.35873925057076
174,-82.64727526192247
175,-86.04682217630074
176,-88.43549720098592
177,-88.80001579516016
178,-74.82808311611458
179,-77.07279446805674
180,-85.8399379974491
181,-84.09179650826422
182,-94.1656235636551
183,-75.20156861431302
184,-80.66595073597838
185,-81.7732506158174
186,-79.5731622081155
187,-110.66306255027953
188,-94.511365652614
189,-71.73412576567938
190,-66.0156942048313
191,-64.60540968737217
192,-82.13418559559804
193,-75.42641485146976
194,-71.33525481610451
195,-76.9172044882558
196,-80.05606435743718
197,-88.24830248728105
198,-79.46697352024611
199,-90.2205191264629
200,-67.39163527034317
201,-70.33046461887339
202,-78.37220426921894
203,-84.2069994246356
204,-98.99010042632896
205,-79.19537111525008
206,-83.68936221508892
207,-78.5822145519723
208,-76.0449517029708
209,-80.8941583977952
210,-76.65631822837574
211,-75.64475295363783
212,-74.0051151418133
213,-74.3392369924433
214,-87.80930025180488
215,-77.01809620395089
216,-73.64712019242327
217,-85.54825729951708
218,-88.57239297637412
219,-78.29077082037256
220,-80.6398070230311
221,-92.94360610518709
222,-85.78629168320913
223,-87.5445974780516
224,-79.49406077472126
225,-74.2102874458983
226,-74.42966602492493
227,-98.25965458786169
228,-79.42572616500178
229,-78.8820497609326
230,-76.79799524276444
231,-75.98891867900831
232,-86.23542904569524
233,-76.98751473618353
234,-81.64132589840342
235,-88.20507906889583
236,-90.09870491994096
237,-81.67548051105855
238,-71.6249164319568
239,-76.60323238892781
240,-81.19799258577827
241,-78.75039135151678
242,-72.74959022019179
243,-75.63632961542723
244,-74.68968050068496
245,-85.78633185085509
246,-83.6766793382614
247,-78.48444582565241
248,-74.92979038009354
249,-70.59289881411645
250,-86.37851765115991
251,-70.50771084197028
252,-73.93920432219043
253,-73.51427731097633
254,-90.05381743479887
255,-87.9564540094065
256,-83.678684365281
257,-77.65348898633728
258,-77.29557705058657
259,-70.64230908011916
260,-78.64364489381663
261,-73.23156806561204
262,-79.66866110532793
263,-79.53834620909015
264,-75.88037757292926
265,-74.99333981416339
266,-82.73170122311137
267,-72.6897651952465
268,-89.76212804821256
269,-76.41845629575882
270,-83.92966709766917
271,-81.38405518365653
272,-82.86360481765365
273,-79.01850112851767
274,-74.35884087894104
275,-69.656964431138
276,-73.85024492137691
277,-86.03025021519862
278,-81.35503894655365
279,-84.18483431329543
280,-85.20661264966009
281,-74.71532309534734
282,-77.84142706867047
283,-89.25392453319935
284,-84.9755940293121
285,-79.96182038805054
286,-87.23037329054522
287,-81.84232066845641
288,-92.05954747948485
289,-73.92467953662765
290,-72.62751759734891
291,-70.81891052128026
292,-67.77377048626384
293,-68.67480109025237
294,-72.93545017176504
295,-96.93832564194439
296,-87.37298370217866
297,-72.3979743367152
298,-85.63048639452984
299,-78.62575901406359
300,-101.83973102767354
301,-75.91176149576162
302,-84.92918634222963
303,-75.07340576875677
304,-96.0655887026836
305,-79.04521920056598
306,-84.89218878528375
307,-80.8181047094588
308,-79.12792549187142
309,-72.45773667391974
310,-90.68907627002609
311,-78.39914311966587
312,-73.25860379233988
313,-78.39085493054486
314,-76.01782462374246
315,-69.89154575698913
316,-69.9469743394812
317,-76.99277433009145
318,-69.29043819249496
319,-77.72658185966374
320,-85.97991578620032
321,-82.08286838197469
322,-72.2345542891071
323,-70.15310839924749
324,-82.49791924508459
325,-80.93049443440448
326,-76.77426279925997
327,-81.81218304091087
328,-84.56343027739224
329,-88.28252371562274
330,-82.4508849486661
331,-96.54538794170006
332,-75.05264095465185
333,-79.92067025488365
334,-77.90147444915387
335,-79.72333918071213
336,-70.65050523355899
337,-86.37273051170295
338,-82.82536168173317
339,-91.5778881491456
340,-91.15654714365219
341,-84.24927472912515
342,-84.68527234381716
343,-85.01878012204402
344,-81.88328744682671
345,-77.61063996210075
346,-82.22728269158978
347,-80.73703446639348
348,-78.69179481965676
349,-80.66129160368868
350,-88.856328099301
351,-72.87244835554048
352,-85.7772207992297
353,-108.4054357238696
354,-86.41224154289702
355,-93.51181313727406
356,-85.25168533138556
357,-79.75759069320644
358,-93.14769077152869
359,-89.95209886457893
360,-92.50457866417756
361,-84.99794406138486
362,-99.92216442243824
363,-76.7403135269027
364,-88.44537388749472
365,-86.21572065704349
366,-78.20209312347207
367,-83.13740562366678
368,-83.88896437822636
369,-84.82290495114596
370,-99.23654928451518
371,-77.32244524746329
372,-92.66589455711929
373,-84.56238794703239
374,-78.44614201110181
375,-74.09565974804633
376,-78.1111778329962
377,-91.96349092424741
378,-79.8432652556769
379,-81.55736477903909
380,-90.19635341893361
381,-73.90883841716801
382,-81.96646043422777
383,-80.16899217921613
384,-92.44881371684015
385,-92.29293273323846
386,-87.42235576554955
387,-91.45083404577477
388,-85.22243843117926
389,-87.83680995647046
390,-77.62292422325777
391,-89.01192462858334
392,-76.36983147868713
393,-78.279108690909
394,-78.9250874682922
395,-87.1914968242886
396,-91.07609846379914
397,-94.78263739621102
398,-79.22387110633392
399,-84.05592078927434
400,-88.51371954249609
401,-79.85130622415218
402,-76.54880810489507
403,-86.13009548832028
404,-76.89051441406744
405,-84.75110805366813
406,-80.53737582832277
407,-84.47223660932283
408,-90.2227070873995
409,-99.2343116081843
410,-98.22826264017854
411,-77.68895992389807
412,-74.0667903773402
413,-73.26603291325671
414,-85.97858078161538
415,-83.79733953545067
416,-82.93236249244929
417,-72.45981612985786
